temp_id,title,pubmed_id,journal,year,url,abstract
1,Cardiorespiratory fitness cut points to avoid cardiovascular disease risk in children and adolescents; what level of fitness should raise a red flag? A systematic review and meta-analysis.,27670254,British journal of sports medicine. Volume: 50 Issue: 23 Dec 2016,2016,http://www.ncbi.nlm.nih.gov/pubmed/27670254/,Poor cardiorespiratory fitness is associated with cardiovascular disease risk factors.
2,QSOX1 expression is associated with aggressive tumor features and reduced survival in breast carcinomas.,27562495,"Modern pathology : an official journal of the United States and Canadian Academy of Pathology, Inc. Volume: 29 Issue: 12 12 2016",2016,http://www.ncbi.nlm.nih.gov/pubmed/27562495/,"The biological role of quiescin sulfhydryl oxidase 1 (QSOX1) in tumor development is not well known, and its relation to breast cancer progression and prognosis is controversial. Here, our aim was to study the expression pattern and prognostic impact of QSOX1 in breast cancer, in relation to molecular subgroups and tumor cell proliferation. We examined a population-based series as part of the prospective Norwegian Breast Cancer Screening Program, including all women (50-69 years) diagnosed with breast cancer in one county of Norway during 1996-2003. QSOX1 expression was assessed by immunohistochemistry on tissue microarrays (n=458). Median follow-up time was 13 years. High expression of QSOX1 protein was associated with features of poor prognosis including high histologic grade, hormone receptor negativity, HER2 positivity, and increased tumor cell proliferation. High QSOX1 expression was further associated with reduced breast cancer-specific survival in both univariate and multivariate analysis, independent of molecular subtypes. High QSOX1 expression is a strong and independent factor of reduced survival in breast cancer, also reflected by elevated levels in more aggressive molecular subgroups. QSOX1 expression may represent a biomarker for aggressive disease and a potential treatment target."
3,Clinical Significance of Late Enhancement and Regional Wall Remodeling Assessed by 3T Magnetic Resonance Imaging.,25922586,Clinical Medicine Insights. Cardiology. Volume: 9 2015,2015,http://www.ncbi.nlm.nih.gov/pubmed/25922586/,"Clinical follow-up studies comparing left ventricular (LV) function and late gadolinium enhancement (LGE) by high-field 3T cardiac magnetic resonance (CMR) are of general interest due to the increased use of 3T scanners. In this study, the occurrence of LGE and LV regional wall remodeling (RWR) was assessed by 3T CMR in patients undergoing coronary angiography for suspected stable coronary artery disease (CAD)."
4,Metabolic re-wiring of isogenic breast epithelial cell lines following epithelial to mesenchymal transition.,28323032,Cancer letters. Volume: 396 06 28 2017,2017,http://www.ncbi.nlm.nih.gov/pubmed/28323032/,"Epithelial to mesenchymal transition (EMT) has implications in tumor progression and metastasis. Metabolic alterations have been described in cancer development but studies focused on the metabolic re-wiring that takes place during EMT are still limited. We performed metabolomics profiling of a breast epithelial cell line and its EMT derived mesenchymal phenotype to create genome-scale metabolic models descriptive of both cell lines. Glycolysis and OXPHOS were higher in the epithelial phenotype while amino acid anaplerosis and fatty acid oxidation fueled the mesenchymal phenotype. Through comparative bioinformatics analysis, PPAR-γ1, PPAR- γ2 and AP-1 were found to be the most influential transcription factors associated with metabolic re-wiring. In silico gene essentiality analysis predicts that the LAT1 neutral amino acid transporter is essential for mesenchymal cell survival. Our results define metabolic traits that distinguish an EMT derived mesenchymal cell line from its epithelial progenitor and may have implications in cancer progression and metastasis. Furthermore, the tools presented here can aid in identifying critical metabolic nodes that may serve as therapeutic targets aiming to prevent EMT and inhibit metastatic dissemination."
5,Cytogenetic Analysis of a Pseudoangiomatous Pleomorphic/Spindle Cell Lipoma.,28476785,Anticancer research. Volume: 37 Issue: 5 05 2017,2017,http://www.ncbi.nlm.nih.gov/pubmed/28476785/,"Pseudoangiomatous pleomorphic/spindle cell lipoma is a rare subtype of pleomorphic/spindle cell lipoma. Only approximately 20 such tumors have been described. Genetic information on pseudoangiomatous pleomorphic/spindle cell lipoma is restricted to a single case in which deletion of the forkhead box O1 (FOXO1) gene was found, using fluorescence in situ hybridization (FISH)."
6,Association between the G protein β3 subunit C825T polymorphism and the occurrence of cardiovascular disease in hypertensives: The Nord-Trøndelag Health Study (HUNT).,20539277,American journal of hypertension. Volume: 23 Issue: 10 Oct 2010,2010,http://www.ncbi.nlm.nih.gov/pubmed/20539277/,"Several studies examining the C825T polymorphism of the G protein β3 subunit (GNB3) have shown inconsistent results regarding susceptibility to hypertension. With twice the length of earlier studies, the aim of our study was to further investigate this association with a cross-sectional design over an 11.5-year follow-up period in a Norwegian population."
7,Structural decomposition of decadal climate prediction errors: A Bayesian approach.,28993698,Scientific reports. Volume: 7 Issue: 1 Oct 09 2017,2017,http://www.ncbi.nlm.nih.gov/pubmed/28993698/,"Decadal climate predictions use initialized coupled model simulations that are typically affected by a drift toward a biased climatology determined by systematic model errors. Model drifts thus reflect a fundamental source of uncertainty in decadal climate predictions. However, their analysis has so far relied on ad-hoc assessments of empirical and subjective character. Here, we define the climate model drift as a dynamical process rather than a descriptive diagnostic. A unified statistical Bayesian framework is proposed where a state-space model is used to decompose systematic decadal climate prediction errors into an initial drift, seasonally varying climatological biases and additional effects of co-varying climate processes. An application to tropical and south Atlantic sea-surface temperatures illustrates how the method allows to evaluate and elucidate dynamic interdependencies between drift, biases, hindcast residuals and background climate. Our approach thus offers a methodology for objective, quantitative and explanatory error estimation in climate predictions."
8,In vitro crosstalk between fibroblasts and native human acute myelogenous leukemia (AML) blasts via local cytokine networks results in increased proliferation and decreased apoptosis of AML cells as well as increased levels of proangiogenic Interleukin 8.,15607368,Leukemia research. Volume: 29 Issue: 2 Feb 2005,2005,http://www.ncbi.nlm.nih.gov/pubmed/15607368/,"Interactions between native human acute myelogenous leukemia (AML) blasts and nonleukemic cells in the bone marrow microenvironment seem important both for disease development chemosensitivity. Native human AML blasts from consecutive patients were cultured with normal human bone marrow stromal cells and two fibroblast lines (HFL1 and Hs27) separated by a semipermeable membrane. This bidirectional crosstalk via the cytokine network between AML blasts and fibroblasts caused (i) increased proliferation, (ii) mediated antiapoptotic signalling and (iii) increased local levels of proangiogenic IL8."
9,Reflections during a study on family therapy with drug addicts.,2209830,Family process. Volume: 29 Issue: 3 Sep 1990,1990,http://www.ncbi.nlm.nih.gov/pubmed/2209830/,"This article presents ideas and reflections emerging during a project on family therapy with drug abusers. Initially inspired by the writings of Stanton and Todd on the subject, the project developed into a recursive and self-reflective process, characterized by increasing doubts about the usefulness of categorization of families, of pre-planning therapy, and of the therapist as an ""expert."" The limitations of approaches that emphasize the importance of understanding the family structure as the basis for changing it are discussed, particularly with respect to how they decrease therapist flexibility and may block the family's finding their own solution. Alternative approaches to practice and research are also discussed, bearing on ideas particularly formulated by theoreticians and practitioners inspired by second-order cybernetics."
10,Occupational therapy-based and evidence-supported recommendations for assessment and exercises in hand osteoarthritis.,21091120,Scandinavian journal of occupational therapy. Volume: 18 Issue: 4 Dec 2011,2011,http://www.ncbi.nlm.nih.gov/pubmed/21091120/,The aims of this study were to develop recommendations for occupational therapy assessment and design of hand exercise programmes in patients with hand osteoarthritis.
11,Processing of sub-syllabic speech units in the posterior temporal lobe: an fMRI study.,15894493,NeuroImage. Volume: 26 Issue: 4 Jul 15 2005,2005,http://www.ncbi.nlm.nih.gov/pubmed/15894493/,"The objective of this study was to investigate phonological processing in the brain by using sub-syllabic speech units with rapidly changing frequency spectra. We used isolated stop consonants extracted from natural speech consonant-vowel (CV) syllables, which were digitized and presented through headphones in a functional magnetic resonance imaging (fMRI) paradigm. The stop consonants were contrasted with CV syllables. In order to control for general auditory activation, we used duration- and intensity-matched noise as a third stimulus category. The subjects were seventeen right-handed, healthy male volunteers. BOLD activation responses were acquired on a 1.5-T MR scanner. The auditory stimuli were presented through MR compatible headphones, using an fMRI paradigm with clustered volume acquisition and 12 s repetition time. The consonant vs. noise comparison resulted in unilateral left lateralized activation in the posterior part of the middle temporal gyrus and superior temporal sulcus (MTG/STS). The CV syllable vs. noise comparison resulted in bilateral activation in the same regions, with a leftward asymmetry. The reversed comparisons, i.e., noise vs. speech stimuli, resulted in right hemisphere activation in the supramarginal and superior temporal gyrus, as well as right prefrontal activation. Since the consonant stimuli are unlikely to have activated a semantic-lexical processing system, it seems reasonable to assume that the MTG/STS activation represents phonetic/phonological processing. This may involve the processing of both spectral and temporal features considered important for phonetic encoding."
12,Incidence of type 1 diabetes in Norway among children aged 0-14 years between 1989 and 2012: has the incidence stopped rising? Results from the Norwegian Childhood Diabetes Registry.,24149838,Diabetologia. Volume: 57 Issue: 1 Jan 2014,2014,http://www.ncbi.nlm.nih.gov/pubmed/24149838/,Our study aimed to describe the incidence of type 1 diabetes in children below 15 years of age in Norway during the period 1989-2012 and to assess the regional variation during 2004-2012. We further set out to estimate the completeness of ascertainment in the Norwegian Childhood Diabetes Registry (NCDR).
